[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor12] /!\ [Actor12] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor3] /!\ [Actor3] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor59] /!\ [Actor59] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor3] /!\ [Actor3] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor59] /!\ [Actor59] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.398] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor3] /!\ [Actor3] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor3] /!\ [Actor3] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor45] /!\ [Actor45] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor45] /!\ [Actor45] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor59] /!\ [Actor59] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor45] /!\ [Actor45] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor91] /!\ [Actor91] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor42] /!\ [Actor42] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor7] /!\ [Actor7] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor7] /!\ [Actor7] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor98] /!\ [Actor98] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor98] /!\ [Actor98] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor98] /!\ [Actor98] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor7] /!\ [Actor7] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor46] /!\ [Actor46] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor46] /!\ [Actor46] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor7] /!\ [Actor7] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor46] /!\ [Actor46] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor46] /!\ [Actor46] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor45] /!\ [Actor45] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor59] /!\ [Actor59] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor12] /!\ [Actor12] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor98] /!\ [Actor98] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor92] /!\ [Actor92] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor92] /!\ [Actor92] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor92] /!\ [Actor92] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor4] /!\ [Actor4] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor9] /!\ [Actor9] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor9] /!\ [Actor9] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor4] /!\ [Actor4] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor4] /!\ [Actor4] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor4] /!\ [Actor4] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor92] /!\ [Actor92] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor9] /!\ [Actor9] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor95] /!\ [Actor95] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor95] /!\ [Actor95] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor95] /!\ [Actor95] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.399] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor9] /!\ [Actor9] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-20] [akka://system/user/Actor95] /!\ [Actor95] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor25] /!\ [Actor25] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor25] /!\ [Actor25] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor25] /!\ [Actor25] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-6] [akka://system/user/Actor25] /!\ [Actor25] received DECIDE from [Actor51], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor51] /!\ [Actor51] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor51] /!\ [Actor51] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-19] [akka://system/user/Actor51] /!\ [Actor51] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-16] [akka://system/user/Actor61] /!\ [Actor61] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor82] /!\ [Actor82] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor61] /!\ [Actor61] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-29] [akka://system/user/Actor82] /!\ [Actor82] received DECIDE from [Actor36], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor48] /!\ [Actor48] received DECIDE from [Actor48], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor61] /!\ [Actor61] received DECIDE from [Actor46], proposal [0]
[INFO] [03/15/2024 21:34:10.400] [system-akka.actor.default-dispatcher-24] [akka://system/user/Actor48] /!\ [Actor48] received DECIDE from [Actor36], proposal [0]
