[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor46] /!\ [Actor46] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor13] /!\ [Actor13] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor15] /!\ [Actor15] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor14] /!\ [Actor14] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor18] /!\ [Actor18] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor21] /!\ [Actor21] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor24] /!\ [Actor24] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor25] /!\ [Actor25] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor28] /!\ [Actor28] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.110] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor31] /!\ [Actor31] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor32] /!\ [Actor32] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor33] /!\ [Actor33] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor35] /!\ [Actor35] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor34] /!\ [Actor34] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor38] /!\ [Actor38] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor40] /!\ [Actor40] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor41] /!\ [Actor41] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor43] /!\ [Actor43] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor47] /!\ [Actor47] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor52] /!\ [Actor52] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor50] /!\ [Actor50] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor53] /!\ [Actor53] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor54] /!\ [Actor54] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor57] /!\ [Actor57] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor59] /!\ [Actor59] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-22] [akka://system/user/Actor63] /!\ [Actor63] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor64] /!\ [Actor64] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor62] /!\ [Actor62] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor65] /!\ [Actor65] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor71] /!\ [Actor71] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-25] [akka://system/user/Actor70] /!\ [Actor70] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-8] [akka://system/user/Actor74] /!\ [Actor74] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor75] /!\ [Actor75] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-5] [akka://system/user/Actor77] /!\ [Actor77] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-33] [akka://system/user/Actor80] /!\ [Actor80] received DECIDE from [Actor9], proposal [1]
[INFO] [04/03/2024 16:15:44.111] [system-akka.actor.default-dispatcher-14] [akka://system/user/Actor85] /!\ [Actor85] received DECIDE from [Actor9], proposal [1]
